,Absolute Magnitude,orbit_id,Eccentricity,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,ma,rms,Mean Motion,Minimum Orbit Intersection,Jupiter Tisserand Invariant,data_arc,class,pha
0,11.16,611,0.22258897,10.827591,304.3221634,642.9954743,1.133418658,178.81659109999995,1.782461396,271.0717326,0.28397,0.559879524,0.150505,4.583,46330.0,0.0,0.0
1,15.5,214,0.546558465,11.56748478,183.86695,1565.522356,1.19645177,156.17633769999995,4.080752359,140.27342180000002,0.39148,0.22995519600000006,0.203482,3.14,39593.0,0.0,0.0
2,13.8,311,0.5703317139999999,9.393851508,110.43424679999998,1421.113273,1.062886307,350.4955509,3.884587551,294.5791673,0.44039,0.253322523,0.082217,3.221,37558.0,0.0,0.0
3,9.4,823,0.533046119,26.67764106,215.546828,1588.828164,1.244303505,132.3646326,4.085145744,4.817744315,0.38018,0.226582086,0.344956,3.035,35105.0,0.0,0.0
4,17.7,104,0.435284954,11.87653981,171.32701219999996,971.3594595,1.083969486,26.69478755,2.755026815,38.52241059,0.45839,0.370614603,0.10745,3.781,32328.0,0.0,0.0
5,16.9,102,0.826809297,22.85205337,88.08223831,408.7839793,0.18669020600000005,31.29726414,1.969201569,192.0831792,0.34334000000000003,0.8806607359999999,0.035204,5.299,26002.0,1.0,1.0
6,14.7,243,0.487350207,52.09207121,62.29781965,1189.5645060000004,1.126368509,159.5179501,3.267931555,195.0724539,0.5172800000000001,0.30263176,0.13613699999999998,3.065,25763.0,0.0,0.0
7,15.3,610,0.335454802,13.33704335,337.1869753000001,507.8100535,0.8278019329999999,276.95606769999995,1.663531795,235.1126414,0.40678,0.708926492,0.0303535,5.074,25067.0,1.0,1.0
8,12.7,1011,0.396783058,8.451869889,133.1193428,928.9945023,1.123957807,167.7934626,2.602588083,256.5069001,0.35876,0.387515749,0.111952,3.879,33143.0,0.0,0.0
9,14.23,358,0.435874168,9.381528518,274.3419954,583.8656346,0.771233073,127.0727874,1.963025949,290.2506511,0.32415,0.616580218,0.050567,4.716,26437.0,1.0,0.0
10,16.25,285,0.559761402,6.353445562999999,35.73168803,651.0979905,0.647222195,285.8593797,2.293102429,88.5464787,0.48731,0.552912166,0.025757,4.415,32849.0,1.0,1.0
11,15.3,194,0.606507217,18.40043608,346.4403095,1239.66132,0.888668639,268.0670186,3.628154422,69.81354914,0.48762,0.290401898,0.182709,3.298,26560.0,1.0,0.0
12,14.7,543,0.614470147,22.21196022,6.62194809,644.9654981000001,0.563226893,325.6333776,2.35860595,221.2316225,0.40705,0.558169392,0.269089,4.336,17978.0,1.0,0.0
