diameter_sigma,id,spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,full_name,e,q,i,om,w,ad,tp_cal,per_y,class,data_arc,condition_code,n_obs_used,two_body,A1,A2,A3,DT,M1,K1,M2,K2,PC,diameter,extent,albedo,rot_per,GM,M1,K1,M2,K2,PC,epoch_mjd,a,e,i,om,w,ma,epoch,q,e,i,om,w,tp,sigma_e,sigma_a,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per
,a0001566,2001566,"  1566 Icarus (1949 MA)",1566,Icarus,,Y,Y,16.9,,,,,,,1.0,,0.51,2.2726,,0.774,0.520,,,,,,"  1566 Icarus (1949 MA)",1.078168924356222,.8270213517584103,22.82210584381254,87.9975459324354,31.39333873322229,.186500203111228,1.969837645601215,1.11953691288843,26002,0,1052,10,13,16.9,1.0,,0.51,2.2726,,0.774,0.520,,,,"  1566 Icarus (1949 MA)",.8270213517584103,.186500203111228,22.82210584381254,87.9975459324354,31.39333873322229,1.969837645601215,20201207.7305866,1.11953691288843,APO,26002,0,1052,,,-3.052890990344277E-15,,,,,,,,1.0,,0.51,2.2726,,,,,,,59000,1.078168924356222,.8270213517584103,22.82210584381254,87.9975459324354,31.39333873322229,192.0831791807477,2459000.5,.186500203111228,.8270213517584103,22.82210584381254,87.9975459324354,31.39333873322229,2459191.230586607055,3.1066E-8,2.7933E-9,1.0278E-5,3.6595E-6,5.932E-6,6.1861E-6,5.1034E-9,3.4213E-9,7.7365E-6,1.5891E-6
0.15,a0001620,2001620,"  1620 Geographos (1951 RA)",1620,Geographos,,Y,Y,15.3,,,,,,,2.56,5.0x2.0x2.1,0.290,5.22204,,0.862,0.471,,S,S,,0.15,"  1620 Geographos (1951 RA)",1.245666863802655,.3354548016359858,13.33704335138623,337.1869752871972,276.956067654262,.8278019331012146,1.663531794504095,1.39030815462755,25067,0,4805,3,4,15.3,2.56,5.0x2.0x2.1,0.290,5.22204,,0.862,0.471,,S,S,"  1620 Geographos (1951 RA)",.3354548016359858,.8278019331012146,13.33704335138623,337.1869752871972,276.956067654262,1.663531794504095,20201123.1640451,1.39030815462755,APO,25067,0,4805,,,,,,,,,,,2.56,5.0x2.0x2.1,0.290,5.22204,,,,,,,59000,1.245666863802655,.3354548016359858,13.33704335138623,337.1869752871972,276.956067654262,235.112641401838,2459000.5,.8278019331012146,.3354548016359858,13.33704335138623,337.1869752871972,276.956067654262,2459176.664045134509,1.1315E-8,1.5848E-10,2.5701E-6,2.6317E-6,3.488E-6,3.0584E-6,2.1165E-10,1.3529E-10,4.345E-6,9.6911E-8
,a0001862,2001862,"  1862 Apollo (1932 HA)",1862,Apollo,,Y,Y,16.25,0.09,,,,,,1.5,,0.25,3.065,,0.819,0.481,,Q,Q,,,"  1862 Apollo (1932 HA)",1.470345437076908,.5599167407364541,6.354731008134468,35.62712918100297,285.9759599626485,.6470744121920885,2.293616461961727,1.78294222124999,32849,0,1692,8,9,16.25,1.5,,0.25,3.065,,0.819,0.481,,Q,Q,"  1862 Apollo (1932 HA)",.5599167407364541,.6470744121920885,6.354731008134468,35.62712918100297,285.9759599626485,2.293616461961727,20191222.8244263,1.78294222124999,APO,32849,0,1692,,,-3.750869058699666E-15,,,,,,,,1.5,,0.25,3.065,,,,,,,59000,1.470345437076908,.5599167407364541,6.354731008134468,35.62712918100297,285.9759599626485,88.54647870407739,2459000.5,.6470744121920885,.5599167407364541,6.354731008134468,35.62712918100297,285.9759599626485,2458840.324426267213,1.3159E-8,8.2984E-10,3.2943E-6,2.3961E-5,2.4868E-5,3.4479E-6,1.2945E-9,4.6799E-10,6.1026E-6,5.5131E-7
,a0001981,2001981,"  1981 Midas (1973 EA)",1981,Midas,,Y,Y,15.2,,,,,,,3.4,,,5.220,,,,,V,,,,"  1981 Midas (1973 EA)",1.776503076557635,.6503515248112099,39.82958911189171,356.864043455968,267.8229785480536,.6211515918865713,2.931854561228698,2.36786614504559,17439,0,1005,6,1,15.2,3.4,,,5.220,,,,,V,,"  1981 Midas (1973 EA)",.6503515248112099,.6211515918865713,39.82958911189171,356.864043455968,267.8229785480536,2.931854561228698,20200921.5466511,2.36786614504559,APO,17439,0,1005,,,,,,,,,,,3.4,,,5.220,,,,,,,59000,1.776503076557635,.6503515248112099,39.82958911189171,356.864043455968,267.8229785480536,312.7361105360278,2459000.5,.6211515918865713,.6503515248112099,39.82958911189171,356.864043455968,267.8229785480536,2459114.046651132864,2.3164E-8,2.7292E-9,6.1262E-6,1.8057E-6,5.1718E-6,1.5668E-6,4.5042E-9,9.5922E-10,3.9193E-6,1.993E-6
,a0002101,2002101,"  2101 Adonis (1936 CA)",2101,Adonis,,Y,Y,18.8,,,,,,,0.6,,,,,,,,,,,,"  2101 Adonis (1936 CA)",1.874841297770703,.7639969406722095,1.322472179712245,349.4863000044244,43.60816184708844,.4424682820279709,3.307214313513434,2.56717201144205,30799,0,143,0,5,18.8,0.6,,,,,,,,,,"  2101 Adonis (1936 CA)",.7639969406722095,.4424682820279709,1.322472179712245,349.4863000044244,43.60816184708844,3.307214313513434,20200801.1008366,2.56717201144205,APO,30799,0,143,,,,,,,,,,,0.6,,,,,,,,,,59000,1.874841297770703,.7639969406722095,1.322472179712245,349.4863000044244,43.60816184708844,336.1573371243271,2459000.5,.4424682820279709,.7639969406722095,1.322472179712245,349.4863000044244,43.60816184708844,2459062.600836641194,6.5722E-8,1.3055E-9,9.0243E-6,.00042959,.00042991,9.3989E-6,2.3029E-9,4.0102E-10,2.4485E-5,9.7937E-7
0.045,a0002102,2002102,"  2102 Tantalus (1975 YA)",2102,Tantalus,,Y,Y,16.0,,,,,,,1.649,,0.245,2.384,,,,,Q,,,0.045,"  2102 Tantalus (1975 YA)",1.290150777425465,.2991482367103558,64.00699389687908,94.362492061007,61.54106216165513,.9042044472681423,1.676097107582787,1.46544291277034,16264,0,1350,1,0,16.0,1.649,,0.245,2.384,,,,,Q,,"  2102 Tantalus (1975 YA)",.2991482367103558,.9042044472681423,64.00699389687908,94.362492061007,61.54106216165513,1.676097107582787,20200130.1013726,1.46544291277034,APO,16264,0,1350,,,,,,,,,,,1.649,,0.245,2.384,,,,,,,59000,1.290150777425465,.2991482367103558,64.00699389687908,94.362492061007,61.54106216165513,81.98646976890842,2459000.5,.9042044472681423,.2991482367103558,64.00699389687908,94.362492061007,61.54106216165513,2458878.601372606049,2.7181E-8,1.006E-9,1.1287E-5,1.6095E-6,8.6974E-6,7.0669E-6,1.3069E-9,7.8663E-10,1.048E-5,6.2602E-7
,a0002135,2002135,"  2135 Aristaeus (1977 HA)",2135,Aristaeus,,Y,Y,17.94,,,,,,,,,,,,,,,,,,,"  2135 Aristaeus (1977 HA)",1.599967126945105,.5030135709911236,23.05815487260921,191.180068510808,290.909447879551,.7951619489520393,2.404772304938171,2.02383355318081,15749,1,61,,,17.94,,,,,,,,,,,"  2135 Aristaeus (1977 HA)",.5030135709911236,.7951619489520393,23.05815487260921,191.180068510808,290.909447879551,2.404772304938171,20190811.5204105,2.02383355318081,APO,15749,1,61,,,,,,,,,,,,,,,,,,,,,59000,1.599967126945105,.5030135709911236,23.05815487260921,191.180068510808,290.909447879551,142.9273650356689,2459000.5,.7951619489520393,.5030135709911236,23.05815487260921,191.180068510808,290.909447879551,2458707.020410516449,1.277E-6,7.9328E-8,5.1475E-5,.00034204,.00015646,.00070706,1.1923E-7,3.6219E-8,.0014303,5.4975E-5
0.1,a0002201,2002201,"  2201 Oljato (1947 XC)",2201,Oljato,,Y,Y,15.3,,,,,,,1.80,,0.4328,26.,,,,,Sq,,,0.1,"  2201 Oljato (1947 XC)",2.174083937532017,.7128855026986447,2.52242424570736,74.98699241579975,98.24728883974767,.6242110168154563,3.723956858248578,3.20569842170471,32492,0,1038,0,5,15.3,1.80,,0.4328,26.,,,,,Sq,,"  2201 Oljato (1947 XC)",.7128855026986447,.6242110168154563,2.52242424570736,74.98699241579975,98.24728883974767,3.723956858248578,20211023.2579421,3.20569842170471,APO,32492,0,1038,,,,,,,,,,,1.80,,0.4328,26.,,,,,,,59000,2.174083937532017,.7128855026986447,2.52242424570736,74.98699241579975,98.24728883974767,203.1157355122402,2459000.5,.6242110168154563,.7128855026986447,2.52242424570736,74.98699241579975,98.24728883974767,2459510.757942128322,3.2818E-8,9.0771E-9,3.836E-6,.00010912,.00010901,2.8768E-6,1.5548E-8,1.9255E-9,1.2287E-5,7.3328E-6
,a0002340,2002340,"  2340 Hathor (1976 UA)",2340,Hathor,,Y,Y,20.2,,,,,,,0.3,,,3.350,,0.770,0.500,,Sq,CSU,,,"  2340 Hathor (1976 UA)",.8438292455376517,.4498841655895494,5.854591233229053,211.5421370750162,39.92629416655726,.4642038295088863,1.223454661566417,0.775157693810369,13878,0,189,4,3,20.2,0.3,,,3.350,,0.770,0.500,,Sq,CSU,"  2340 Hathor (1976 UA)",.4498841655895494,.4642038295088863,5.854591233229053,211.5421370750162,39.92629416655726,1.223454661566417,20040708.8864602,0.775157693810369,ATE,13878,0,189,,,-3.028587184797805E-14,,,,,,,,0.3,,,3.350,,,,,,,53228,.8438292455376517,.4498841655895494,5.854591233229053,211.5421370750162,39.92629416655726,42.10443294792183,2453228.5,.4642038295088863,.4498841655895494,5.854591233229053,211.5421370750162,39.92629416655726,2453195.386460219392,1.0082E-7,5.9662E-10,8.1522E-6,2.6559E-5,2.8328E-5,1.2119E-5,8.6503E-10,1.3485E-9,9.5386E-6,3.0027E-7
,a0003122,2003122,"  3122 Florence (1981 ET3)",3122,Florence,,Y,Y,14.1,,,,,,,4.9,,0.231,2.3581,,,,,S,,,,"  3122 Florence (1981 ET3)",1.76897494739889,.4229445968320528,22.14249700106365,336.0638557998342,27.84781893493626,1.020796551465264,2.517153343332515,2.35283095775463,15243,0,4652,6,0,14.1,4.9,,0.231,2.3581,,,,,S,,"  3122 Florence (1981 ET3)",.4229445968320528,1.020796551465264,22.14249700106365,336.0638557998342,27.84781893493626,2.517153343332515,20200131.5977680,2.35283095775463,AMO,15243,0,4652,,,,,,,,,,,4.9,,0.231,2.3581,,,,,,,59000,1.76897494739889,.4229445968320528,22.14249700106365,336.0638557998342,27.84781893493626,50.43779454724203,2459000.5,1.020796551465264,.4229445968320528,22.14249700106365,336.0638557998342,27.84781893493626,2458880.097767983462,6.5197E-9,4.1494E-9,1.8571E-6,1.2422E-6,4.7042E-6,1.419E-6,5.9044E-9,1.4739E-9,3.2212E-6,3.0237E-6
